method,seed,num_circles,budget,length,risk,elapsed,ts
partition_radius,22,6,100,923.3959634965474,20.350169398033714,0.6124930381774902,1701894300.8354292
partition_st,22,6,100,923.9543141392966,0.0,0.6431050300598145,1701894301.47854
visibility,22,6,200,902.3255442382209,181.1823005739454,10.584709882736206,1701894312.063267
partition_optimal,22,6,200,902.3022520241202,181.15094330760405,0.9091548919677734,1701894312.972943
partition_radius,22,6,200,922.0831343312617,64.4774660081507,0.7824969291687012,1701894313.755445
partition_st,22,6,200,923.7495857564651,0.0,0.8311097621917725,1701894314.58656
visibility,22,6,300,900.0466298867351,223.6191339365996,11.004185914993286,1701894325.590761
partition_optimal,22,6,300,900.199365314736,220.67374610292651,0.7576828002929688,1701894326.348931
partition_radius,22,6,300,919.4546355817242,101.42175474300863,1.0458357334136963,1701894327.394772
partition_st,22,6,300,921.5421945390033,145.670964554007,1.083428144454956,1701894328.478205
visibility,22,6,400,900.0466298867351,223.6191339365996,11.550327062606812,1701894340.0285451
partition_optimal,22,6,400,900.199365314736,220.67374610292651,0.7569959163665771,1701894340.786027
partition_radius,22,6,400,914.9288846830647,266.95873718074444,1.4029908180236816,1701894342.189022
partition_st,22,6,400,918.6769213728664,207.16060254859516,1.208940029144287,1701894343.3979678
visibility,22,6,500,900.0466298867351,223.6191339365996,12.071962118148804,1701894355.469944
partition_optimal,22,6,500,900.199365314736,220.67374610292651,0.762383222579956,1701894356.2328131
partition_radius,22,6,500,909.1052710997236,309.7799759158952,1.6821279525756836,1701894357.914946
partition_st,22,6,500,918.147834911398,220.0817918995969,0.41481518745422363,1701894358.3297658
visibility,22,6,600,900.0466298867351,223.6191339365996,12.437813997268677,1701894370.767592
partition_optimal,22,6,600,900.199365314736,220.67374610292651,0.7644190788269043,1701894371.5325189
partition_radius,22,6,600,903.1575044392484,202.92244219924635,1.6424639225006104,1701894373.174988
partition_st,22,6,600,917.9956609667547,228.74567993682132,0.40825772285461426,1701894373.583251
visibility,22,6,700,900.0466298867351,223.6191339365996,12.962363004684448,1701894386.5456262
partition_optimal,22,6,700,900.199365314736,220.67374610292651,0.7604670524597168,1701894387.306606
partition_radius,22,6,700,900.1401782055299,221.29176254327925,0.26218390464782715,1701894387.568796
partition_st,22,6,700,917.8067801191664,237.0387394147474,0.4293842315673828,1701894387.998184
