method,seed,num_circles,budget,length,risk,elapsed,ts
layers_solver,0,6,700,901.5177822571582,523.9935200205441,1373.59043717384338,1695853921.007649
layers_solver,0,6,800,901.5177822571582,523.9935200205441,1500,1695854001.1704829
layers_solver,0,6,900,901.5177822571582,523.9935200205441,90.42428493499756,1695854091.59478
layers_solver,0,6,1000,901.5177822571582,523.9935200205441,439.06699800491333,1695854530.661797
layers_solver,1,6,0,952.1233508767341,0,26.418894052505493,1695854557.082228
layers_solver,1,6,100,911.8776014945378,85.44129243757811,931.1997449398041,1695855488.281984
layers_solver,1,6,200,905.959599804265,169.25755669733962,631.3994328975677,1695856519.6814349
layers_solver,1,6,300,902.5078797870284,271.21666825317425,844.23575019836426,1695856563.9171982
layers_solver,1,6,400,901.5177822571582,297.85900432372745,1082.8103740215302,1695857646.727587
layers_solver,1,6,500,901.5177822571582,297.85900432372745,1111.5479350090027,1695858658.275537
layers_solver,1,6,600,901.5177822571582,297.85900432372745,1213.040834903717,1695860671.3163872
layers_solver,1,6,700,901.5177822571582,297.85900432372745,1420.4138960838318,1695861691.730297
layers_solver,1,6,800,901.5177822571582,297.85900432372745,1807.55091714859,1695863499.28123
layers_solver,1,6,900,901.5177822571582,297.85900432372745,1048.3583719730377,1695864547.639619
layers_solver,1,6,1000,901.5177822571582,297.85900432372745,2064.0375990867615,1695866611.677232
layers_solver,2,6,0,952.1233508767341,0,997.6630389690399,1695867609.341177
layers_solver,2,6,100,903.013389240647,86.79303092657258,29.920994997024536,1695867639.262184
layers_solver,2,6,200,901.5177822571582,133.83413129786106,661.0960631370544,1695868600.358262
layers_solver,2,6,300,901.5177822571582,133.83413129786106,854.1243877410889,1695869554.4826639
layers_solver,2,6,400,901.5177822571582,133.83413129786106,1062.9357290267944,1695870617.4184058
layers_solver,2,6,500,901.5177822571582,133.83413129786106,1155.6371109485626,1695870973.05553
layers_solver,2,6,600,901.5177822571582,133.83413129786106,1261.7873830795288,1695871334.8429272
layers_solver,2,6,700,901.5177822571582,133.83413129786106,1406.5709969997406,1695872611.4139378
layers_solver,2,6,800,901.5177822571582,133.83413129786106,1745.9654598236084,1695873357.379412
layers_solver,2,6,900,901.5177822571582,133.83413129786106,159.65419507026672,1695873517.033619
layers_solver,2,6,1000,901.5177822571582,133.83413129786106,1329.485604763031,1695874846.519237
layers_solver,3,6,0,952.1233508767341,0,25.113337993621826,1695874871.6334982
layers_solver,3,6,100,919.4239077583568,77.44664475520061,951.3947699069977,1695875823.0282829
layers_solver,3,6,200,907.3255916116217,180.14415139534992,631.1763820648193,1695876654.20468
layers_solver,3,6,300,906.0518430701395,242.43406598358928,851.22774696350098,1695876905.432439
layers_solver,3,6,400,902.5389957774955,355.4944310263148,1000.22325801849365,1695877413.65571
layers_solver,3,6,500,901.5177822571582,436.5861915254049,1131.5183129310608,1695878045.174037
layers_solver,3,6,600,901.5177822571582,436.5861915254049,1293.9828011989594,1695880039.156855
layers_solver,3,6,700,901.5177822571582,436.5861915254049,1400.176918029785,1695885539.333788
layers_solver,3,6,800,901.5177822571582,436.5861915254049,1178.75018000602722,1695885618.083992
layers_solver,3,6,900,901.5177822571582,436.5861915254049,212.62500286102295,1695885830.7090108
layers_solver,3,6,1000,901.5177822571582,436.5861915254049,330.2270998954773,1695886160.9361238
partition_radius,0,6,1000,900.1263428360567,1000,0.2848517894744873,1698959164.708086
partition_st,0,6,1000,928.9356459933693,1000,0.5822639465332031,1698959165.290359
visibility,0,6,1000,900.4369028713497,527.3258674586593,11.414852857589722,1698959176.705232
layers_solver,0,6,1000,901.5177822571582,523.9935200205441,96.73956298828125,1698959273.4448068
partition_radius,1,6,1000,900.1139199324159,1000,0.2656099796295166,1698959273.711214
partition_st,1,6,1000,904.0876148167298,1000,1.0424907207489014,1698959274.753713
visibility,1,6,1000,900.0991594640307,298.49556568831173,10.414720058441162,1698959285.168447
layers_solver,1,6,1000,901.5177822571582,297.85900432372745,95.39475202560425,1698959380.563214
partition_radius,2,6,1000,900.1213605617871,1000,0.271392822265625,1698959380.83533
partition_st,2,6,1000,901.7431016029432,1000,0.5545868873596191,1698959381.389925
visibility,2,6,1000,900.0060739225008,146.46645826036726,10.398749351501465,1698959391.788691
layers_solver,2,6,1000,901.5177822571582,133.83413129786106,97.63210415840149,1698959489.4208121
partition_radius,3,6,1000,900.0549653479388,1000,0.2846100330352783,1698959489.706162
partition_st,3,6,1000,908.0290398114855,1000,1.1689629554748535,1698959490.875134
visibility,3,6,1000,901.3495335190942,386.67733809962243,10.237721681594849,1698959501.11287
layers_solver,3,6,1000,901.5177822571582,436.5861915254049,97.72581696510315,1698959598.838711
partition_radius,4,6,1000,900.0657594943821,1000,0.2802910804748535,1698959599.120042
partition_st,4,6,1000,919.339222979579,1000,0.3828859329223633,1698959599.5029361
visibility,4,6,1000,900.7170620876509,278.72045961488226,10.698391914367676,1698959610.201341
layers_solver,4,6,1000,901.5177822571582,301.25351067844684,98.2386200428009,1698959708.439975
partition_radius,5,6,1000,900.084591614798,1000,0.2875947952270508,1698959708.728471
partition_st,5,6,1000,908.1364405884998,1000,0.9865536689758301,1698959709.715033
visibility,5,6,1000,900.2615924030566,170.11817535951914,9.927326202392578,1698959719.6423721
layers_solver,5,6,1000,901.5177822571582,194.12745563616008,95.55663728713989,1698959815.199023
partition_radius,6,6,1000,900.3131202327181,1000,0.26572203636169434,1698959815.465503
partition_st,6,6,1000,900.3131202327181,1000,0.30742692947387695,1698959815.772939
visibility,6,6,1000,900.0758009592631,152.43055100131969,11.414063930511475,1698959827.187017
layers_solver,6,6,1000,901.5177822571582,143.04402191830607,97.42083406448364,1698959924.607863
partition_radius,7,6,1000,900.0704015593078,1000,0.28042101860046387,1698959924.888979
partition_st,7,6,1000,915.8249640207305,1000,0.6015849113464355,1698959925.4905732
visibility,7,6,1000,901.8801733730047,407.379439872776,10.61934208869934,1698959936.109932
layers_solver,7,6,1000,901.5177822571582,407.1335228065004,158.79837107658386,1698960094.9083269
partition_radius,8,6,1000,900.1601631702094,1000,0.27437806129455566,1698960095.1834571
partition_st,8,6,1000,907.0686212137904,1000,0.432081937789917,1698960095.615548
visibility,8,6,1000,900.2623946221632,337.69718328922096,10.550405025482178,1698960106.165965
layers_solver,8,6,1000,901.5177822571582,325.3170806413236,98.13115620613098,1698960204.297133
partition_radius,9,6,1000,900.1085767752859,1000,0.2690868377685547,1698960204.566907
partition_st,9,6,1000,916.037615956316,1000,1.019860029220581,1698960205.586775
visibility,9,6,1000,900.7278471981291,439.8067522722231,10.811117887496948,1698960216.397907
layers_solver,9,6,1000,901.5177822571582,442.3839061274627,99.20969700813293,1698960315.60762
partition_radius,10,6,1000,900.101031347074,1000,0.2821931838989258,1698960315.8906791
partition_st,10,6,1000,906.339552336245,1000,0.821070671081543,1698960316.7117598
visibility,10,6,1000,900.4276823031861,430.3478575489245,10.656825065612793,1698960327.368597
layers_solver,10,6,1000,901.5177822571582,471.6958441416336,96.72515320777893,1698960424.093769
partition_radius,11,6,1000,900.151656546752,1000,0.28327298164367676,1698960424.3777978
partition_st,11,6,1000,916.8656734236217,1000,0.6510870456695557,1698960425.028895
visibility,11,6,1000,900.6923740938779,388.73522449528923,10.38145899772644,1698960435.410367
layers_solver,11,6,1000,901.5177822571582,445.29395436147666,95.08553194999695,1698960530.495911
partition_radius,12,6,1000,900.2879083369899,1000,0.27475500106811523,1698960530.771557
partition_st,12,6,1000,907.1016018120657,1000,0.339709997177124,1698960531.111279
visibility,12,6,1000,901.4232066463776,189.57779778221447,10.606436014175415,1698960541.7177331
layers_solver,12,6,1000,901.5177822571582,196.95987536164333,94.73932218551636,1698960636.45707
partition_radius,13,6,1000,900.1274580173226,1000,0.2778170108795166,1698960636.735622
partition_st,13,6,1000,900.1274580173226,1000,0.26740002632141113,1698960637.00303
visibility,13,6,1000,901.447681513021,275.62931467946737,10.16620421409607,1698960647.16925
layers_solver,13,6,1000,901.5177822571582,306.16539658191186,92.89693975448608,1698960740.0662038
partition_radius,14,6,1000,900.1069643646629,1000,0.27117395401000977,1698960740.338133
partition_st,14,6,1000,903.8334833758477,1000,0.5843238830566406,1698960740.922464
visibility,14,6,1000,900.1015944383637,189.0809253446834,10.773700952529907,1698960751.696178
layers_solver,14,6,1000,901.5177822571582,187.24030924270005,100.08223700523376,1698960851.77843
partition_radius,15,6,1000,900.1734762642191,1000,0.2722790241241455,1698960852.051597
partition_st,15,6,1000,900.5012761690251,1000,0.645953893661499,1698960852.697563
visibility,15,6,1000,900.3710020551105,150.98173623998625,11.101936101913452,1698960863.799513
layers_solver,15,6,1000,901.5177822571582,192.76009744970892,100.29439306259155,1698960964.0939252
partition_radius,16,6,1000,900.1660686039362,1000,0.29248905181884766,1698960964.387866
partition_st,16,6,1000,922.0616811912217,1000,0.7487039566040039,1698960965.136578
visibility,16,6,1000,900.5015848973619,541.6671295676688,10.525548934936523,1698960975.662142
layers_solver,16,6,1000,901.5177822571582,539.960985373468,95.56454873085022,1698961071.226707
partition_radius,17,6,1000,900.1867026873686,1000,0.2788081169128418,1698961071.506436
partition_st,17,6,1000,901.5118445299236,1000,0.9965438842773438,1698961072.502989
visibility,17,6,1000,902.791736513725,268.76235806291726,11.695173025131226,1698961084.198176
layers_solver,17,6,1000,901.5177822571582,278.9353100161646,99.85262680053711,1698961184.0508218
partition_radius,18,6,1000,900.2065081335684,1000,0.27037882804870605,1698961184.321968
partition_st,18,6,1000,903.0322718014999,1000,0.6157150268554688,1698961184.937692
visibility,18,6,1000,900.0845968888742,210.92424758505697,11.059999942779541,1698961195.997705
layers_solver,18,6,1000,901.5177822571582,185.6996491291801,97.6625669002533,1698961293.660288
partition_radius,19,6,1000,900.0963800742813,1000,0.2721419334411621,1698961293.933592
partition_st,19,6,1000,905.6437627141241,1000,0.47098302841186523,1698961294.404585
visibility,19,6,1000,900.2552030426547,285.0128334868224,10.702835083007812,1698961305.107434
layers_solver,19,6,1000,901.5177822571582,263.3779947465229,96.9342257976532,1698961402.04169
partition_radius,20,6,1000,900.2094064314185,1000,0.275256872177124,1698961402.318607
partition_st,20,6,1000,908.1209534241247,1000,0.6588499546051025,1698961402.9774652
visibility,20,6,1000,900.3050684707813,215.50910659439342,11.177366018295288,1698961414.154847
layers_solver,20,6,1000,901.5177822571582,253.69086161841852,98.0994918346405,1698961512.254357
partition_radius,21,6,1000,900.3169962216575,1000,0.27241086959838867,1698961512.527766
partition_st,21,6,1000,905.763242351377,1000,0.7961039543151855,1698961513.323879
visibility,21,6,1000,900.1118059476476,318.6512140061343,11.3524911403656,1698961524.6763809
layers_solver,21,6,1000,901.5177822571582,313.13070900132806,100.88039302825928,1698961625.556787
partition_radius,22,6,1000,900.1401782055299,1000,0.26744508743286133,1698961625.824981
partition_st,22,6,1000,916.8676557818878,1000,0.563960075378418,1698961626.388949
visibility,22,6,1000,900.0466298867351,223.6191339365996,10.667959928512573,1698961637.0569222
layers_solver,22,6,1000,901.5177822571582,223.01020694234086,93.75982308387756,1698961730.81676
partition_radius,23,6,1000,900.2471245638153,1000,0.27440500259399414,1698961731.091955
partition_st,23,6,1000,905.3088116716907,1000,0.625391960144043,1698961731.717359
visibility,23,6,1000,900.0561034764067,208.69954211903422,11.071578979492188,1698961742.790146
layers_solver,23,6,1000,901.5177822571582,241.21978825737312,101.3660078048706,1698961844.156196
partition_radius,24,6,1000,900.0807412804145,1000,0.2771778106689453,1698961844.435086
partition_st,24,6,1000,900.0807412804145,1000,0.2810361385345459,1698961844.716137
visibility,24,6,1000,900.1399348802936,57.77939424803203,11.281136751174927,1698961855.997289
layers_solver,24,6,1000,901.5177822571582,91.54354370730914,97.03900814056396,1698961953.036316
partition_radius,25,6,1000,900.2974701080892,1000,0.2636070251464844,1698961953.3007731
partition_st,25,6,1000,929.7287399910165,1000,1.293834924697876,1698961954.594618
visibility,25,6,1000,900.6491678735338,327.2535872173999,10.562018156051636,1698961965.156668
layers_solver,25,6,1000,901.5177822571582,326.66377081941545,99.15544390678406,1698962064.3121421
partition_radius,26,6,1000,900.191394841461,1000,0.2720308303833008,1698962064.585185
partition_st,26,6,1000,905.7491270791902,1000,0.42829394340515137,1698962065.013488
visibility,26,6,1000,900.022746616301,171.28977639181608,10.636188983917236,1698962075.6496909
layers_solver,26,6,1000,901.5177822571582,183.73217575471872,99.27624607086182,1698962174.925951
partition_radius,27,6,1000,900.1583273546865,1000,0.2763490676879883,1698962175.203109
partition_st,27,6,1000,900.4195736770074,1000,1.253007173538208,1698962176.456125
visibility,27,6,1000,900.0385115451124,270.68278598856193,10.81550121307373,1698962187.27164
layers_solver,27,6,1000,901.5177822571582,269.1113445871127,94.44276309013367,1698962281.714417
partition_radius,28,6,1000,900.1107634688962,1000,0.26897287368774414,1698962281.984142
partition_st,28,6,1000,908.5961970752246,1000,0.28963589668273926,1698962282.273788
visibility,28,6,1000,900.3310568952376,201.81297464374552,10.555334329605103,1698962292.829134
layers_solver,28,6,1000,901.5177822571582,184.30303909532816,93.22943615913391,1698962386.0586
partition_radius,29,6,1000,900.0704114386393,1000,0.26957082748413086,1698962386.3293009
partition_st,29,6,1000,917.6082175777758,1000,0.9894459247589111,1698962387.318756
visibility,29,6,1000,900.6002976165053,395.78412427412377,11.01362419128418,1698962398.332392
layers_solver,29,6,1000,901.5177822571582,386.25691021549426,93.47240281105042,1698962491.804806
partition_radius,0,6,1000,900.1263428360567,1000,0.2855260372161865,1700463066.439292
partition_st,0,6,1000,928.9356459933693,1000,0.6152040958404541,1700463067.0545049
partition_radius,0,6,1000,900.1263428360567,1000,0.2864561080932617,1701806403.284042
partition_st,0,6,1000,928.9356459933693,1000,0.566840648651123,1701806403.850893
visibility,0,6,1000,900.4369028713497,527.3258674586593,13.983027935028076,1701806417.833933
partition_radius,0,6,1000,900.1263428360567,1000,0.2790100574493408,1701806702.660983
partition_st,0,6,1000,928.9356459933693,1000,0.551257848739624,1701806703.2122471
visibility,0,6,1000,900.4369028713497,527.3258674586593,14.032701015472412,1701806717.24496
